"","CityName","Population","CityRank","IsMetroCity","IsTouristDestination","IsWeekend","IsNewYearEve","Date","HotelName","RoomRent","StarRating","Airport","HotelAddress","HotelPincode","HotelDescription","FreeWifi","FreeBreakfast","HotelCapacity","HasSwimmingPool"
"1","Mumbai",12442373,0,1,1,1,0,"Dec 18 2016","Vivanta by Taj",12375,5,21,"90 Cuffe Parade, Colaba, Mumbai, Maharashtra",400005,"Luxury hotel with spa, near Gateway of India",1,0,287,1
"2","Mumbai",12442373,0,1,1,0,0,"Dec 21 2016","Vivanta by Taj",10250,5,21,"91 Cuffe Parade, Colaba, Mumbai, Maharashtra",400006,"Luxury hotel with spa, near Gateway of India",1,0,287,1
"3","Mumbai",12442373,0,1,1,1,0,"Dec 24 2016","Vivanta by Taj",9900,5,21,"92 Cuffe Parade, Colaba, Mumbai, Maharashtra",400007,"Luxury hotel with spa, near Gateway of India",1,0,287,1
"4","Mumbai",12442373,0,1,1,1,0,"Dec 25 2016","Vivanta by Taj",10350,5,21,"93 Cuffe Parade, Colaba, Mumbai, Maharashtra",400008,"Luxury hotel with spa, near Gateway of India",1,0,287,1
"5","Mumbai",12442373,0,1,1,0,0,"Dec 28 2016","Vivanta by Taj",12000,5,21,"94 Cuffe Parade, Colaba, Mumbai, Maharashtra",400009,"Luxury hotel with spa, near Gateway of India",1,0,287,1
"6","Mumbai",12442373,0,1,1,1,1,"Dec 31 2016","Vivanta by Taj",11475,5,21,"95 Cuffe Parade, Colaba, Mumbai, Maharashtra",400010,"Luxury hotel with spa, near Gateway of India",1,0,287,1
"7","Mumbai",12442373,0,1,1,0,0,"Jan 04 2017","Vivanta by Taj",11220,5,21,"96 Cuffe Parade, Colaba, Mumbai, Maharashtra",400011,"Luxury hotel with spa, near Gateway of India",1,0,287,1
"8","Mumbai",12442373,0,1,1,1,0,"Jan 08 2017","Vivanta by Taj",9225,5,21,"97 Cuffe Parade, Colaba, Mumbai, Maharashtra",400012,"Luxury hotel with spa, near Gateway of India",1,0,287,1
"9","Mumbai",12442373,0,1,1,1,0,"Dec 18 2016","The Gordon House Hotel",6800,4,20,"5 Battery, Apollo Bunder, Colaba, Mumbai, Maharashtra",400039,"Luxury hotel with 2 restaurants, near Gateway of India",1,1,28,0
"10","Mumbai",12442373,0,1,1,0,0,"Dec 21 2016","The Gordon House Hotel",9350,4,20,"6 Battery, Apollo Bunder, Colaba, Mumbai, Maharashtra",400040,"Luxury hotel with 2 restaurants, near Gateway of India",1,1,28,0
"11","Mumbai",12442373,0,1,1,1,0,"Dec 24 2016","The Gordon House Hotel",9999,4,20,"7 Battery, Apollo Bunder, Colaba, Mumbai, Maharashtra",400041,"Luxury hotel with 2 restaurants, near Gateway of India",1,1,28,0
"12","Mumbai",12442373,0,1,1,1,0,"Dec 25 2016","The Gordon House Hotel",9999,4,20,"8 Battery, Apollo Bunder, Colaba, Mumbai, Maharashtra",400042,"Luxury hotel with 2 restaurants, near Gateway of India",1,1,28,0
"13","Mumbai",12442373,0,1,1,0,0,"Dec 28 2016","The Gordon House Hotel",9999,4,20,"9 Battery, Apollo Bunder, Colaba, Mumbai, Maharashtra",400043,"Luxury hotel with 2 restaurants, near Gateway of India",1,1,28,0
"14","Mumbai",12442373,0,1,1,1,1,"Dec 31 2016","The Gordon House Hotel",9999,4,20,"10 Battery, Apollo Bunder, Colaba, Mumbai, Maharashtra",400044,"Luxury hotel with 2 restaurants, near Gateway of India",1,1,28,0
"15","Mumbai",12442373,0,1,1,0,0,"Jan 04 2017","The Gordon House Hotel",9999,4,20,"11 Battery, Apollo Bunder, Colaba, Mumbai, Maharashtra",400045,"Luxury hotel with 2 restaurants, near Gateway of India",1,1,28,0
"16","Mumbai",12442373,0,1,1,1,0,"Jan 08 2017","The Gordon House Hotel",9999,4,20,"12 Battery, Apollo Bunder, Colaba, Mumbai, Maharashtra",400046,"Luxury hotel with 2 restaurants, near Gateway of India",1,1,28,0
"17","Mumbai",12442373,0,1,1,1,0,"Dec 18 2016","Fariyas Hotel",7014,4,20,"25, Off Arthur Bunder Road, Colaba, Mumbai, Maharashtra",400005,"4-star hotel with 2 restaurants, near Gateway of India",1,0,87,1
"18","Mumbai",12442373,0,1,1,0,0,"Dec 21 2016","Fariyas Hotel",7014,4,20,"25, Off Arthur Bunder Road, Colaba, Mumbai, Maharashtra",400006,"4-star hotel with 2 restaurants, near Gateway of India",1,0,87,1
"19","Mumbai",12442373,0,1,1,1,0,"Dec 24 2016","Fariyas Hotel",7014,4,20,"25, Off Arthur Bunder Road, Colaba, Mumbai, Maharashtra",400007,"4-star hotel with 2 restaurants, near Gateway of India",1,0,87,1
"20","Mumbai",12442373,0,1,1,1,0,"Dec 25 2016","Fariyas Hotel",7839,4,20,"25, Off Arthur Bunder Road, Colaba, Mumbai, Maharashtra",400008,"4-star hotel with 2 restaurants, near Gateway of India",1,0,87,1
"21","Mumbai",12442373,0,1,1,0,0,"Dec 28 2016","Fariyas Hotel",7839,4,20,"25, Off Arthur Bunder Road, Colaba, Mumbai, Maharashtra",400009,"4-star hotel with 2 restaurants, near Gateway of India",1,0,87,1
"22","Mumbai",12442373,0,1,1,1,1,"Dec 31 2016","Fariyas Hotel",8495,4,20,"25, Off Arthur Bunder Road, Colaba, Mumbai, Maharashtra",400010,"4-star hotel with 2 restaurants, near Gateway of India",1,0,87,1
