AIRLINE,AIRCRAFT,FLIGHT_DURATION,MONTH,INTERNATIONAL,SEATS_ECONOMY,SEATS_PREMIUM,PITCH_ECONOMY,PITCH_PREMIUM,WIDTH_ECONOMY,WIDTH_PREMIUM,PRICE_ECONOMY,PRICE_PREMIUM,PRICE_RELATIVE,N,LAMBDA,QUALITY
AirFrance,0,6.91,2,1,216,24,32,38,17,19,648,1710,1.64,240,0.1,6
AirFrance,0,6.91,3,1,216,24,32,38,17,19,648,1710,1.64,240,0.1,6
AirFrance,1,9.5,3,1,147,21,32,38,18,19,630,1611,1.56,168,0.13,6
AirFrance,0,6.91,1,1,216,24,32,38,17,19,700,1710,1.44,240,0.1,6
AirFrance,1,9.5,2,1,147,21,32,38,18,19,743,1611,1.17,168,0.13,6
AirFrance,1,13,2,1,389,38,32,38,18,19,1522,3289,1.16,427,0.09,6
AirFrance,1,13,3,1,389,38,32,38,18,19,1522,3289,1.16,427,0.09,6
AirFrance,1,9.5,1,1,147,21,32,38,18,19,990,1611,0.63,168,0.13,6
AirFrance,0,6.91,0,1,216,24,32,38,17,19,1094,1710,0.56,240,0.1,6
AirFrance,0,8.33,1,1,200,28,32,38,17,19,2918,3972,0.36,228,0.12,6
AirFrance,0,8.33,2,1,200,28,32,38,17,19,2918,3972,0.36,228,0.12,6
AirFrance,0,8.33,3,1,200,28,32,38,17,19,2918,3972,0.36,228,0.12,6
AirFrance,1,8.33,0,1,147,21,32,38,18,19,2659,2859,0.08,168,0.13,6
AirFrance,1,8.33,1,1,147,21,32,38,18,19,2659,2859,0.08,168,0.13,6
AirFrance,1,8.33,2,1,147,21,32,38,18,19,2659,2859,0.08,168,0.13,6
AirFrance,1,8.33,3,1,147,21,32,38,18,19,2659,2859,0.08,168,0.13,6
AirFrance,1,8.33,0,1,147,21,32,38,18,19,2659,2859,0.08,168,0.13,6
AirFrance,1,8.33,1,1,147,21,32,38,18,19,2659,2859,0.08,168,0.13,6
AirFrance,1,8.33,2,1,147,21,32,38,18,19,2659,2859,0.08,168,0.13,6
AirFrance,1,8.33,3,1,147,21,32,38,18,19,2659,2859,0.08,168,0.13,6
AirFrance,1,7.33,1,1,147,21,32,38,18,19,2607,2807,0.08,168,0.13,6
AirFrance,1,7.33,2,1,147,21,32,38,18,19,2607,2807,0.08,168,0.13,6
AirFrance,1,7.33,3,1,147,21,32,38,18,19,2607,2807,0.08,168,0.13,6
AirFrance,1,7.5,1,1,389,38,32,38,18,19,2581,2781,0.08,427,0.09,6
AirFrance,1,7.5,2,1,389,38,32,38,18,19,2581,2781,0.08,427,0.09,6
AirFrance,0,7.5,3,1,200,28,32,38,17,19,2581,2781,0.08,228,0.12,6
AirFrance,1,6.83,2,1,147,21,32,38,18,19,2860,3063,0.07,168,0.13,6
AirFrance,1,6.83,3,1,147,21,32,38,18,19,2860,3063,0.07,168,0.13,6
AirFrance,0,6.83,1,1,200,28,32,38,17,19,2860,3063,0.07,228,0.12,6
AirFrance,0,8.75,0,1,200,28,32,38,17,19,3026,3226,0.07,228,0.12,6
AirFrance,0,8.75,1,1,200,28,32,38,17,19,3026,3226,0.07,228,0.12,6
AirFrance,0,8.75,2,1,200,28,32,38,17,19,3026,3226,0.07,228,0.12,6
AirFrance,0,10.66,1,1,389,38,32,38,18,19,2996,3196,0.07,427,0.09,6
AirFrance,0,10.66,2,1,389,38,32,38,18,19,2996,3196,0.07,427,0.09,6
AirFrance,0,10.66,3,1,389,38,32,38,18,19,2996,3196,0.07,427,0.09,6
AirFrance,1,8.91,1,1,147,21,32,38,18,19,2609,2787,0.07,168,0.13,6
AirFrance,1,8.91,2,1,147,21,32,38,18,19,2609,2787,0.07,168,0.13,6
AirFrance,1,8.91,3,1,147,21,32,38,18,19,2609,2787,0.07,168,0.13,6
AirFrance,0,7.66,1,1,200,28,32,38,17,19,3057,3167,0.04,228,0.12,6
AirFrance,0,6.83,2,1,200,28,32,38,17,19,3057,3167,0.04,228,0.12,6
AirFrance,0,6.83,3,1,200,28,32,38,17,19,3057,3167,0.04,228,0.12,6
AirFrance,1,8.41,0,1,389,38,32,38,18,19,2979,3088,0.04,427,0.09,6
AirFrance,1,8.5,1,1,389,38,32,38,18,19,2979,3088,0.04,427,0.09,6
AirFrance,1,8.5,2,1,389,38,32,38,18,19,2979,3088,0.04,427,0.09,6
AirFrance,0,8.5,3,1,389,38,32,38,18,19,2979,3088,0.04,427,0.09,6
AirFrance,1,8.08,2,1,147,21,32,38,18,19,2813,2922,0.04,168,0.13,6
AirFrance,0,9.5,0,1,200,28,32,38,17,19,3414,3524,0.03,228,0.12,6
AirFrance,0,9.5,1,1,200,28,32,38,17,19,3414,3524,0.03,228,0.12,6
AirFrance,0,9.5,2,1,200,28,32,38,17,19,3414,3524,0.03,228,0.12,6
AirFrance,0,9.5,3,1,200,28,32,38,17,19,3414,3524,0.03,228,0.12,6
AirFrance,0,7.75,0,1,174,24,32,38,17,19,3215,3325,0.03,198,0.12,6
AirFrance,0,7.75,1,1,174,24,32,38,17,19,3215,3325,0.03,198,0.12,6
AirFrance,0,7.75,2,1,174,24,32,38,17,19,3215,3325,0.03,198,0.12,6
AirFrance,0,7.83,3,1,174,24,32,38,17,19,3215,3325,0.03,198,0.12,6
AirFrance,1,9.18,0,1,147,21,32,38,18,19,3165,3275,0.03,168,0.13,6
AirFrance,1,9.18,1,1,147,21,32,38,18,19,3165,3275,0.03,168,0.13,6
AirFrance,1,9.25,2,1,147,21,32,38,18,19,3165,3275,0.03,168,0.13,6
AirFrance,1,9.25,3,1,147,21,32,38,18,19,3165,3275,0.03,168,0.13,6
AirFrance,1,9.16,0,1,147,21,32,38,18,19,3165,3275,0.03,168,0.13,6
AirFrance,1,9.16,1,1,147,21,32,38,18,19,3165,3275,0.03,168,0.13,6
AirFrance,1,9.25,2,1,147,21,32,38,18,19,3165,3275,0.03,168,0.13,6
AirFrance,1,9.25,3,1,147,21,32,38,18,19,3165,3275,0.03,168,0.13,6
AirFrance,0,9.41,1,1,200,28,32,38,17,19,3480,3589,0.03,228,0.12,6
AirFrance,0,9.41,2,1,200,28,32,38,17,19,3480,3589,0.03,228,0.12,6
AirFrance,0,9.41,3,1,200,28,32,38,17,19,3480,3589,0.03,228,0.12,6
AirFrance,0,11.75,0,1,174,24,32,38,17,19,3593,3702,0.03,198,0.12,6
AirFrance,0,11.75,1,1,174,24,32,38,17,19,3593,3702,0.03,198,0.12,6
AirFrance,0,11.5,2,1,389,38,32,38,18,19,3593,3702,0.03,427,0.09,6
AirFrance,0,11.5,3,1,389,38,32,38,18,19,3593,3702,0.03,427,0.09,6
AirFrance,0,11.91,0,1,200,28,32,38,17,19,3159,3243,0.03,228,0.12,6
AirFrance,0,11.91,1,1,200,28,32,38,17,19,3159,3243,0.03,228,0.12,6
AirFrance,0,11.91,2,1,200,28,32,38,17,19,3159,3243,0.03,228,0.12,6
AirFrance,0,11.91,3,1,200,28,32,38,17,19,3159,3243,0.03,228,0.12,6
AirFrance,1,13,0,1,389,38,32,38,18,19,3220,3289,0.02,427,0.09,6
British,0,13.83,1,1,203,24,31,38,18,19,3102,7414,1.39,227,0.11,7
British,0,13.83,2,1,203,24,31,38,18,19,3102,7414,1.39,227,0.11,7
British,0,13.83,3,1,203,24,31,38,18,19,3102,7414,1.39,227,0.11,7
British,0,12.25,0,1,122,40,31,38,18,19,2707,3725,0.38,162,0.25,7
British,0,12.25,1,1,122,40,31,38,18,19,2707,3725,0.38,162,0.25,7
British,0,12.25,2,1,122,40,31,38,18,19,2707,3725,0.38,162,0.25,7
British,0,12.25,3,1,122,40,31,38,18,19,2707,3725,0.38,162,0.25,7
British,1,11.16,0,1,303,55,31,38,18,19,2384,3563,0.49,358,0.15,7
British,1,11.16,1,1,303,55,31,38,18,19,2384,3563,0.49,358,0.15,7
British,1,11.16,2,1,303,55,31,38,18,19,2384,3563,0.49,358,0.15,7
British,1,11.16,3,1,303,55,31,38,18,19,2384,3563,0.49,358,0.15,7
